m,n,time_taken
3,3,0.0002994537353515625
3,4,0.0007505416870117188
3,5,0.0016562938690185547
3,6,0.00341796875
3,7,0.006539106369018555
3,8,0.012559175491333008
3,9,0.022028684616088867
4,3,0.0006458759307861328
4,4,0.0018758773803710938
4,5,0.004993438720703125
4,6,0.011934280395507812
4,7,0.025875091552734375
4,8,0.053732872009277344
4,9,0.10583877563476562
5,3,0.0011076927185058594
5,4,0.005173683166503906
5,5,0.012205123901367188
5,6,0.03593111038208008
5,7,0.08170843124389648
5,8,0.19437527656555176
5,9,0.6073300838470459
6,3,0.00189208984375
6,4,0.008571147918701172
6,5,0.02556014060974121
6,6,0.08248496055603027
6,7,0.21358036994934082
6,8,0.7575631141662598
6,9,1.5061256885528564
7,3,0.0029799938201904297
7,4,0.01485443115234375
7,5,0.05153322219848633
7,6,0.18127655982971191
7,7,0.784461498260498
7,8,1.7183418273925781
7,9,3.845895767211914
8,3,0.004342079162597656
8,4,0.025040149688720703
8,5,0.0924372673034668
8,6,0.35515403747558594
8,7,1.3964009284973145
8,8,3.6087796688079834
8,9,8.877854585647583
9,3,0.00659942626953125
9,4,0.038251399993896484
9,5,0.15746068954467773
9,6,1.034787893295288
9,7,2.550811529159546
9,8,7.388633966445923
9,9,19.74659824371338
