no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1,coef_1|1|1|2,coef_1|1|3,coef_1|2|2,coef_1|4,coef_2|3,coef_5,pwrs_1|1|1|1|1,pwrs_1|1|1|2,pwrs_1|1|3,pwrs_1|2|2,pwrs_1|4,pwrs_2|3,pwrs_5
1,0,0,4,5,3,2,1,1,,,1|4,1|3,1|2,1|2,1|1,,
1,0,1,3,20,6,2,,,,,1|1|3,1|1|2,1|1|1,,,,
1,0,2,2,30,3|3,,2,,,,1|2|2,1|2|1*1|1|2,,1|1|1,,,
1,1,1,2,60,6,,,,,,1|1|1|2,1|1|1|1,,,,,
2,0,1,2,60,6|6,,4,,,,2|1|2,2|1|1*1|1|2,,1|1|1,,,
2,1,1,1,120,12,,,,,,2|1|1|1,1|1|1|1,,,,,
2,0,0,3,20,6|2,2,4,,2,,2|3,2|2*1|3,2|1,1|2,,1|1,
3,0,0,2,30,3|9,3,6,,3,,3|2,3|1*2|2,1|2,2|1,,1|1,
3,0,1,1,60,18,6,,,,,3|1|1,2|1|1,1|1|1,,,,
4,0,0,1,20,12,8,4,4,,,4|1,3|1,2|1,2|1,1|1,,
5,0,0,0,5,5,5,5,5,5,5,5,4,3,3,2,2,1
