idx_omit,s1,s2,s3
0,1.0,0.0,0.0
0,0.37829537986845607,0.39571445485883194,0.22599016527109556
0,0.6900274661837171,0.30997253276677167,0.0
0,0.11502313837460976,0.46838290214891826,0.41659395947857036
0,0.0,0.5669873566260452,0.43301264337322903
0,0.0,0.0,1.0
0,0.0,0.2862222335318689,0.713777766468121
0,0.0,1.0,0.0
1,1.0,0.0,0.0
1,0.33673280514388426,0.0,0.6632671948561469
1,0.0,0.0,1.0
1,0.5129192170135838,0.0,0.4870807829804783
1,0.0,1.0,0.0
1,0.0,0.2862222335311656,0.7137777664680133
1,0.0,0.5669873564669139,0.43301264344926294
2,1.0,0.0,0.0
2,0.8732784854509428,0.12672151454905178,0.0
2,0.33673280514388343,0.0,0.663267194856147
2,0.2100112905948503,0.12672151454922104,0.6632671948559321
2,0.0,0.0,1.0
2,0.38619770249350865,0.1267215145287059,0.48708078294782997
2,0.5129192170251881,0.0,0.4870807829748972
2,0.24824622055949194,0.7517537794411044,0.0
2,0.0,1.0,0.0
3,1.0,0.0,0.0
3,0.8732784854509428,0.12672151454905178,0.0
3,0.24824622055949194,0.7517537794411044,0.0
3,0.0,0.0,1.0
3,0.0,1.0,0.0
3,0.0,0.6900274670840398,0.30997253291576926
